Report_Date,Open_Interest,MM_Long,MM_Short,MM_Net,MM_Net_Change
2026-05-19,379325,122894,29354,93540,
2026-06-02,326052,129367,17188,112179,18639
2026-06-09,332709,126280,20417,105863,-6316
2026-06-23,352167,131102,15707,115395,9532
2026-07-07,371776,134941,18780,116161,766
2026-07-14,383689,136905,16126,120779,4618
2026-07-21,383368,141487,16656,124831,4052
2026-07-28,384603,135093,15298,119795,-5036
2026-08-04,371551,139809,9043,130766,10971
2026-08-11,400309,148634,10972,137662,6896
2026-08-18,406260,154595,12947,141648,3986
